Response ID,What year were you born?,Gender,job industry, job industry (Detailed),occupation,Occupation (Detailed),Number of employers,Manager,Household,Job tenure,Metro / Regional,"Thinking about your current job, how much of your time did you spend remote working last year?",My organisation encouraged people to work remotely,My organisation was well prepared for me to work remotely,It was common for people in my organisation to work remotely,It was easy to get permission to work remotely,I could easily collaborate with colleagues when working remotely,I would recommend remote working to others,Time prefered to work remotely,"In last 3 months, time spent on remote working","In last 3 months,  My organisation encouraged people to work remotely","In last 3 months,  My organisation was well prepared for me to work remotely","In last 3 months, It was common for people in my organisation to work remotely","In last 3 months, It was easy to get permission to work remotely","in last 3 months, collaboration with colleagues when working remotely","In last 3 months, I would recommend remote working to others","In the last 3 months, preferred time to work remotely ",Time prefer to work remotely after COVID is cured,Encourage more remote working after COVID is cured,Make changes to support remote working after COVID is cured,Prefer to work remotely after COVID is cured,Productivity,Time for preparing  and commuting on employer's workplace,Working hours on employer's workplace,Time for personal and family while on employer's workplace,Time for Caring and domestic responsibilities while on employer's workplace,Time for preparing for work and commuting while on remote work,how many hours do you work remotely,Time for personal and family while on remote work,Time for Caring and domestic responsibilities while on remote work,The most significant barrier to doing your work remotely,Compare remote working to working at your employer痴 workplace
646,1987,Male,Accommodation and Food Services,Food and Beverage Services,Sales ,Sales Assistants and Salespersons,Between 5 and 19,Yes,Couple with dependent children,Between 1 and 5 years,Metro,50% - I spent about half of my time remote working,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,70%,70%,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,60%,60%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,My productivity is about same when I work remotely,10,10,2,2,10,10,2,2,Difficulty collaborating remotely,Preparing for work and commuting
647,1965,Female,Education and Training,"Adult, Community and Other Education",Managers,"Chief Executives, General Managers and Legislators",Between 1 and 4,Yes,Couple with no dependent children,More than 5 years,Metro,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100% - All of my time,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100% - All of my time,100% - All of my time,Strongly agree,Strongly agree,Strongly agree,My productivity is about same when I work remotely,0.5,2,3,3,0,2,3,3,"IT equipment (computer, printer, etc.)",My work-life balance
648,1966,Female,Education and Training,Preschool and School Education,Clerical and administrative ,Clerical and Office Support ,More than 200,No,Couple with no dependent children,More than 5 years,Metro,Rarely or never ,NA,NA,NA,NA,NA,NA,I would not have preferred to work remotely ,10%,Strongly agree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,10%,I would prefer not to work remotely ,Strongly disagree,Strongly disagree,Strongly disagree,I知 20% less productive when working remotely,1,7,5,2,0.5,7,7,2,Feeling left out and/or isolated,My work-life balance
649,1962,Female,Education and Training,Preschool and School Education,Technicians and trades ,Other Technicians and Trades ,More than 200,No,Couple with no dependent children,More than 5 years,Metro,Rarely or never ,NA,NA,NA,NA,NA,NA,50% - About half of my time,10%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,50% - About half of my time,50% - About half of my time,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I知 30% more productive when working remotely,1,6.25,2,2.5,0.5,6.25,3,2.5,Connectivity (internet connection),My work-life balance
650,1970,Female,Health Care and Social Assistance,Medical and Other Health Care Services,Professionals,"Business, Human Resource and Marketing Professionals",I am the only employee,No,Single person,More than 5 years,Metro,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,100% - All of my time,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100% - All of my time,100% - All of my time,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,My productivity is about same when I work remotely,0,6,2,2,0,6,2,2,"IT equipment (computer, printer, etc.)",My work-life balance
651,1990,Male,Health Care and Social Assistance,Medical and Other Health Care Services,Professionals,"Design, Engineering, Science and Transport Professionals",Between 20 and 199,No,Couple with dependent children,Between 1 and 5 years,Metro,50% - I spent about half of my time remote working,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,50% - About half of my time,50% - I spent about half of my time remote working,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,50% - About half of my time,50% - About half of my time,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,I知 10% more productive when working remotely,2,10,10,2,2,10,10,2,Poor management,My on-the-job learning opportunities
652,1972,Male,Financial and Insurance Services,Finance,Managers,"Chief Executives, General Managers and Legislators",Between 20 and 199,Yes,Single person,Between 1 and 5 years,Metro,20%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,I would not have preferred to work remotely ,90%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,I would not have preferred to work remotely ,I would prefer not to work remotely ,Somewhat agree,Somewhat agree,Somewhat agree,My productivity is about same when I work remotely,2,8,3,1,0,9,0,0,Connectivity (internet connection),Preparing for work and commuting
653,1981,Male,Education and Training,Tertiary Education,Professionals,"Business, Human Resource and Marketing Professionals",More than 200,No,Single person,Between 1 and 5 years,Regional,Less than 10% of my time,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,50% - About half of my time,100% - I spent all of my time remote working,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100% - All of my time,100% - All of my time,Somewhat agree,Somewhat agree,Somewhat agree,I知 30% more productive when working remotely,0.75,7.5,0.5,0,0.1,8,1,0,"IT equipment (computer, printer, etc.)",My work-life balance
654,1969,Male,Construction,Building Construction,Managers,"Hospitality, Retail and Service Managers",More than 200,Yes,Single person,More than 5 years,Metro,20%,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Less than 10% of my time,40%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Less than 10% of my time,Less than 10% of my time,Somewhat agree,Strongly agree,Strongly agree,I知 30% less productive when working remotely,2,10,11,1,0,11,12,1,Difficulty collaborating remotely,Preparing for work and commuting
655,1985,Male,Financial and Insurance Services,Finance,Managers,Specialist Managers,More than 200,Yes,Couple with dependent children,More than 5 years,Metro,30%,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,40%,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,100% - All of my time,60%,Strongly agree,Strongly agree,Strongly agree,My productivity is about same when I work remotely,1.5,10,1,2,0,11,3,1,Caring responsibilities,Managing my family responsibilities
656,1981,Male,"Professional, Scientific and Technical Services",Computer System Design and Related Services,Sales ,Sales Support ,Between 20 and 199,No,Single person,More than 5 years,Metro,20%,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,100% - All of my time,90%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,100% - All of my time,100% - All of my time,Somewhat disagree,Neither agree nor disagree,Somewhat agree,I知 20% more productive when working remotely,2,5,0,0,0,7,2,2,Feeling left out and/or isolated,Preparing for work and commuting
657,1960,Female,Education and Training,Tertiary Education,Professionals,Education Professionals,More than 200,No,Couple with no dependent children,More than 5 years,Regional,20%,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,30%,Less than 10% of my time,Strongly disagree,Strongly agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,40%,40%,Strongly disagree,Neither agree nor disagree,Strongly disagree,I知 20% more productive when working remotely,0,8,0,0,0,8,0,0,Feeling left out and/or isolated,Managing my family responsibilities
658,1988,Female,"Professional, Scientific and Technical Services",Computer System Design and Related Services,Professionals,"Legal, Social and Welfare Professionals",More than 200,No,Group household,Between 1 and 5 years,Metro,Rarely or never ,NA,NA,NA,NA,NA,NA,10%,20%,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,20%,20%,Somewhat disagree,Neither agree nor disagree,Somewhat agree,I知 30% less productive when working remotely,3,7,13,1,0,8,15,1,Feeling left out and/or isolated,Preparing for work and commuting
659,1986,Female,Health Care and Social Assistance,Hospitals,Professionals,Health Professionals,More than 200,Yes,Couple with no dependent children,Between 1 and 5 years,Regional,Less than 10% of my time,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Less than 10% of my time,Less than 10% of my time,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Less than 10% of my time,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,My productivity is about same when I work remotely,0.5,8,2,1,0.25,10,2,2,Poor management,My working relationships
660,1966,Female,Public Administration and Safety,Public Administration,Clerical and administrative ,Personal Assistants and Secretaries,More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,10%,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,20%,10%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,20%,20%,Strongly agree,Strongly agree,Strongly agree,I知 50% more productive when working remotely (or more),2,7,4,1,2,7,2,2,Connectivity (internet connection),Managing my family responsibilities
661,1966,Male,Information Media and Telecommunications,Telecommunications Services,Managers,Specialist Managers,More than 200,No,Single person,Between 1 and 5 years,Metro,80%,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,50% - About half of my time,90%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,50% - About half of my time,50% - About half of my time,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,I知 20% more productive when working remotely,3,9,0,0,0.5,11,0,0,Feeling left out and/or isolated,My work-life balance
662,1960,Male,Education and Training,Preschool and School Education,Professionals,Education Professionals,Between 20 and 199,No,Single person,Between 1 and 5 years,Regional,Less than 10% of my time,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,40%,20%,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,40%,Less than 10% of my time,Somewhat disagree,Strongly disagree,Strongly disagree,I知 20% less productive when working remotely,3,6,2,2,2,4,4,3,Difficulty collaborating remotely,The number of hours  I work
663,1970,Female,Financial and Insurance Services,Finance,Sales ,Sales Assistants and Salespersons,More than 200,No,Couple with dependent children,Between 1 and 5 years,Metro,Rarely or never ,NA,NA,NA,NA,NA,NA,I would not have preferred to work remotely ,50% - I spent about half of my time remote working,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,50% - About half of my time,50% - About half of my time,Somewhat agree,Somewhat agree,Somewhat agree,I知 10% less productive when working remotely,1,8,1,2,0,8,2,2,"IT equipment (computer, printer, etc.)",Preparing for work and commuting
664,1984,Male,Health Care and Social Assistance,Medical and Other Health Care Services,Managers,Specialist Managers,More than 200,No,Single person,More than 5 years,Metro,Less than 10% of my time,Neither agree nor disagree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,50% - About half of my time,90%,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,90%,90%,Strongly agree,Strongly agree,Strongly agree,I知 10% more productive when working remotely,0.75,9,6,1,0.4,9,7,1,Difficulty collaborating remotely,My work-life balance
665,1985,Female,Public Administration and Safety,"Public Order, Safety and Regulatory Services",Managers,Specialist Managers,Between 20 and 199,Yes,Couple with dependent children,Between 6 and 12 months,Metro,50% - I spent about half of my time remote working,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,40%,80%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,80%,70%,Neither agree nor disagree,Somewhat agree,Somewhat agree,My productivity is about same when I work remotely,1,5,10,3,1,6,9,2,Difficulty collaborating remotely,Managing my family responsibilities
666,1982,Male,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Managers,Specialist Managers,More than 200,Yes,Group household,More than 5 years,Metro,Less than 10% of my time,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,50% - About half of my time,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,100% - All of my time,50% - About half of my time,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,I知 10% more productive when working remotely,1,7,1,1,0,7,2,1,Difficulty collaborating remotely,The number of hours  I work
